"N","p1","delta","est","s.e.","q025","q900","q950","q975","index"
650,0.4,0.15,-0.821771089915125,0.16544707393597,-1.13746106469104,-0.603359195298358,-0.546545821578915,-0.492657576187849,10
750,0.4,0.15,-1.01606507671315,0.165521882842494,-1.34623049775495,-0.810227482872779,-0.742108024937247,-0.696131737098217,10
350,0.4,0.075,-0.117028519707351,0.229267825705495,-0.563497903402034,0.175191069032673,0.275161164206976,0.345036805106178,11
450,0.4,0.075,-0.0987286920725264,0.206888042044302,-0.49067313978241,0.171084687768683,0.247444501485884,0.30886883330624,11
550,0.4,0.075,-0.399967286014192,0.17559815371967,-0.755358197505287,-0.180396823172732,-0.115705785574093,-0.0509369171230822,11
650,0.4,0.075,-0.347389568427084,0.158590660028991,-0.657310367558896,-0.143563493917215,-0.0875522426632852,-0.0360806931444866,11
750,0.4,0.075,-0.272218773335832,0.149680542418528,-0.568336459963382,-0.0777049296980215,-0.0242631609771832,0.0179683405551133,11
350,0.4,0.1,-0.659358887626674,0.23624524186144,-1.12681327860129,-0.353747784997345,-0.275342205115494,-0.203556734374545,11
450,0.4,0.1,-0.575710237216743,0.20468754553962,-0.980694349509141,-0.307939778980787,-0.233081940817812,-0.184399949727345,11
550,0.4,0.1,-0.724134528900939,0.179005901425694,-1.0777682448774,-0.489774710895331,-0.43259648546282,-0.372886855753502,11
650,0.4,0.1,-0.290540582116469,0.167761736443903,-0.617089083698229,-0.0739308134573576,-0.0126996551288657,0.0381940099440065,11
750,0.4,0.1,-0.370268375404588,0.147421122743174,-0.661994314466417,-0.182547219691546,-0.132429776295071,-0.0925158148893283,11
350,0.4,0.125,-0.548776904604607,0.228360210529074,-0.997386208065552,-0.25904105612548,-0.190248835331032,-0.127210267296689,11
450,0.4,0.125,-0.32861804863951,0.194957425755745,-0.707898679529916,-0.0788078431407616,-0.0151783641951102,0.0466869975204125,11
550,0.4,0.125,-0.50900504282836,0.185674818358431,-0.869366555929997,-0.269990951300898,-0.197610219099339,-0.142002215669022,11
