"N","p1","delta","est","s.e.","q025","q900","q950","q975","index"
750,0.4,0.1,-0.437158334685352,0.152170584704357,-0.731188871611209,-0.242330974237582,-0.190817582985914,-0.13712647615222,6
350,0.4,0.125,-0.0179794059620637,0.234215792898402,-0.480010822225221,0.280488960861916,0.355893447204846,0.43438467379515,6
450,0.4,0.125,-0.452430669477544,0.205013770296587,-0.866619935236526,-0.189817842393181,-0.107158604736075,-0.0544987583214752,6
550,0.4,0.125,-0.690321492932059,0.175557923063311,-1.03598483247318,-0.468084789873365,-0.413356516312502,-0.363515786505774,6
650,0.4,0.125,-0.523556563441658,0.168936137844555,-0.852735854383014,-0.305208423265236,-0.24570010733215,-0.184976101659745,6
750,0.4,0.125,-0.644365583790899,0.161911630615287,-0.96049141997429,-0.438048554516032,-0.375897057366887,-0.32445783061637,6
350,0.4,0.15,-0.385935959387239,0.23894484074045,-0.849639505307583,-0.0762492893320272,0.0111030575840413,0.0816299834590058,6
450,0.4,0.15,-0.71998171750067,0.207621724783654,-1.12586009663248,-0.450446128010637,-0.368336922975394,-0.302535897128382,6
550,0.4,0.15,-0.624336349105836,0.181239403114202,-0.985217704847533,-0.387619450609364,-0.325308534699841,-0.272875397965258,6
650,0.4,0.15,-0.765564214923777,0.17438370180439,-1.11788158319555,-0.542619841206816,-0.486256565453492,-0.438539487839925,6
750,0.4,0.15,-0.517991633221245,0.155571122417316,-0.817594697311069,-0.317687175409229,-0.263920640826154,-0.218770475476527,6
350,0.4,0.075,-0.420350017553124,0.228176733094096,-0.872107499005466,-0.128468850764469,-0.0457081986442257,0.0197236546197937,7
450,0.4,0.075,-0.585601853825932,0.205375299722485,-0.991364754987949,-0.323011710333487,-0.248104979621718,-0.191406192414897,7
550,0.4,0.075,-0.699120012079239,0.182616248907278,-1.05839920717806,-0.464399493108362,-0.402651032031799,-0.350268143879955,7
650,0.4,0.075,-0.390696754406722,0.160737637522882,-0.703302168860064,-0.18404278099913,-0.13005254578745,-0.0746440736808265,7
750,0.4,0.075,0.0707444567273897,0.154616783876957,-0.239339039145212,0.266185123796795,0.323527011970238,0.37989393231032,7
350,0.4,0.1,-0.412162412816827,0.218960145487243,-0.859919157534514,-0.129626985946984,-0.053781474534747,0.0106328054952326,7
450,0.4,0.1,-0.633806338904261,0.200837555718259,-1.03462417721576,-0.375752811658432,-0.305830272281437,-0.231629272093105,7
550,0.4,0.1,-0.545385093384473,0.184194051471342,-0.90715909252277,-0.318152044755926,-0.24632411086225,-0.180727587195884,7
650,0.4,0.1,-0.180209520601243,0.163354901702668,-0.512932221597415,0.0323639668880079,0.0902294549413104,0.138637423511447,7
750,0.4,0.1,-0.596585568795467,0.151450612685526,-0.880917561172137,-0.39911842715722,-0.3473071827134,-0.309850982759168,7
350,0.4,0.125,-0.63159419174798,0.228895588387606,-1.07666298044393,-0.336447207190246,-0.259887840969073,-0.183787743141484,7
