"N","p1","delta","est","s.e.","QL","QU","index"
650,0.1,0.15,-0.0881292765414781,10.0573377285247,-19.8182734155941,19.6035944559833,2
750,0.1,0.15,-0.130975579793842,10.1185441699298,-20.1081500852612,20.4712415973007,2
350,0.2,0.15,-1.92435524185211,0.398977853967576,-2.75006852451387,-1.18419266794583,2
450,0.2,0.15,-2.03694631912321,0.41672342857584,-2.88351567604819,-1.24783897542023,2
550,0.2,0.15,-1.42904942533359,0.343233102968423,-2.0989117660116,-0.769363194263216,2
650,0.2,0.15,-1.75151703492225,0.340681359715362,-2.46283870173855,-1.11165045466223,2
750,0.2,0.15,-1.46275837704537,0.274514411554013,-2.031951945398,-0.942021611149703,2
350,0.3,0.15,-0.46723763418081,0.286105840788042,-1.05248770117814,0.0825966765622304,2
450,0.3,0.15,-0.931562702777789,0.244390504688268,-1.41711761626066,-0.470891767352939,2
550,0.3,0.15,-1.3526073344186,0.213314665116574,-1.78665396918705,-0.944248546609434,2
650,0.3,0.15,-0.662265887230363,0.200203810112205,-1.06967876208233,-0.280575714148581,2
750,0.3,0.15,-0.764466211015358,0.181824828159568,-1.11924652902443,-0.414416689667114,2
350,0.4,0.15,-0.546088768301323,0.234396049307176,-1.01899693876652,-0.09630524127619,2
450,0.4,0.15,-0.670964041423361,0.204494900645349,-1.0783162705722,-0.273292084338326,2
550,0.4,0.15,-0.896943636581802,0.191719718782362,-1.28947370947311,-0.523055330144833,2
650,0.4,0.15,-0.772409814990206,0.171798250929625,-1.10632337674498,-0.446126010398823,2
750,0.4,0.15,-0.434749811091358,0.154092946577239,-0.746007686472064,-0.134799256750909,2
350,0.5,0.15,-0.844274496189964,0.222870494073941,-1.28113144654539,-0.419304048494691,2
450,0.5,0.15,-0.729567697500746,0.191218589228779,-1.10060177134297,-0.347313177182672,2
550,0.5,0.15,-0.815570699299574,0.180543182682158,-1.17281824936955,-0.457513163938761,2
650,0.5,0.15,-0.819152286379577,0.162605310890911,-1.13798159198608,-0.504910595811106,2
750,0.5,0.15,-0.599454401832576,0.153346946115749,-0.904085198776704,-0.299871086859428,2
350,0.1,0.05,-1.30952807834862,0.527643383788891,-2.44985797685986,-0.34405730655762,3
450,0.1,0.05,-0.839008287010983,0.401925352302882,-1.66876771785191,-0.0790046171388982,3
550,0.1,0.05,-0.941935762183566,0.297385122052109,-1.53258103661266,-0.365237589223317,3
650,0.1,0.05,-1.0643875366334,0.329146179070075,-1.73321776016721,-0.440726210459329,3
750,0.1,0.05,-0.643400215789527,0.279648643473794,-1.19774529465366,-0.118804271875349,3
350,0.2,0.05,-0.0595552580753532,0.304853418514326,-0.669758558757739,0.522877955787702,3
450,0.2,0.05,-0.227509399336703,0.264056509363445,-0.744512981213959,0.274896614150387,3
550,0.2,0.05,-0.403262800487328,0.228072114545236,-0.847467582448074,0.0352957149862497,3
650,0.2,0.05,-0.193747306846779,0.216273337390877,-0.609201630976167,0.232660857116971,3
750,0.2,0.05,-0.21578199322733,0.182009442757024,-0.56524890610792,0.146158942977732,3
350,0.3,0.05,-0.142042564800019,0.247121329359982,-0.62496724224048,0.361035136516697,3
450,0.3,0.05,-0.421436168522967,0.205261281029912,-0.811693292286713,-0.0183213904975739,3
550,0.3,0.05,-0.294073137762632,0.193514903783509,-0.679196448860717,0.079613396887125,3
650,0.3,0.05,-0.251731518437268,0.17327719330058,-0.590271554406925,0.0742655808505245,3
750,0.3,0.05,-0.174700757258449,0.162548897792434,-0.489943990686486,0.147057189351637,3
350,0.4,0.05,-0.0641104931807563,0.211255542835205,-0.482019352442488,0.339105261225327,3
450,0.4,0.05,-0.0442277556922934,0.199715721543033,-0.439522331659614,0.349601708272679,3
550,0.4,0.05,-0.0313572623396335,0.181058993557829,-0.386268271700934,0.321241915375978,3
650,0.4,0.05,-0.343526237966927,0.158490972223034,-0.653844315529089,-0.0243597766177107,3
750,0.4,0.05,-0.130586556831094,0.153285138224379,-0.43249301894985,0.176362835102496,3
350,0.5,0.05,-0.273617500338612,0.217909935411885,-0.700320600083194,0.141768162820749,3
450,0.5,0.05,-0.41462829993338,0.184157091839893,-0.779819968875186,-0.054986984663926,3
550,0.5,0.05,-0.298057051178735,0.172722815357991,-0.630105981990698,0.0378002163511946,3
650,0.5,0.05,-0.269802968057901,0.15652795610892,-0.575048917857214,0.0398783638868983,3
750,0.5,0.05,-0.289097343140799,0.151766495328316,-0.586088459749084,0.0114720992114283,3
350,0.1,0.075,-1.81354384004716,0.652298020605015,-3.23640093660507,-0.602968401681381,3
450,0.1,0.075,-1.94458863734889,0.66065577148565,-3.35796542240099,-0.754033592311997,3
550,0.1,0.075,-2.34861395979682,0.550060516104454,-3.51605892076961,-1.36532274062887,3
650,0.1,0.075,-1.66036962644987,0.439114575246472,-2.59470142344813,-0.861215807718891,3
750,0.1,0.075,-0.524941230216868,0.322197158647347,-1.17874663099876,0.0815925496438585,3
350,0.2,0.075,-0.505838221665578,0.270849027359501,-1.03670630120306,0.0159795185263074,3
450,0.2,0.075,-1.00243299437742,0.28312850670185,-1.56457127020868,-0.461800960050733,3
550,0.2,0.075,-0.0376627133618224,0.228536577656227,-0.472704502132138,0.411084717534034,3
650,0.2,0.075,-0.422752790103103,0.216166222091332,-0.85741240308787,0.000168619141926213,3
750,0.2,0.075,-0.780800195058946,0.21126759234616,-1.20545869948625,-0.379563130330513,3
350,0.3,0.075,-0.377071895731066,0.251850819057423,-0.867850867145478,0.0978716765322769,3
450,0.3,0.075,-0.443466835598748,0.218045503197983,-0.874408809896994,-0.0156636122746758,3
550,0.3,0.075,-0.333638449418628,0.187688712903231,-0.694436254793337,0.0228130373391691,3
650,0.3,0.075,-0.110411741772148,0.17409771857165,-0.449409190646338,0.241441460582654,3
750,0.3,0.075,-0.388290158467001,0.167227757037747,-0.723821378185692,-0.0718232833302253,3
350,0.4,0.075,-0.546400660792838,0.227691900500638,-0.979294362113204,-0.0916664546272032,3
450,0.4,0.075,-0.198839093734431,0.195025269588157,-0.576728217644437,0.174446681333803,3
550,0.4,0.075,-0.402182735453106,0.183110334644188,-0.762000121006539,-0.0410477362734529,3
650,0.4,0.075,-0.306068771563999,0.162531030219845,-0.630992117765295,0.00499052828266954,3
750,0.4,0.075,-0.32850248270588,0.155769964080613,-0.638409155184605,-0.0299234400711899,3
350,0.5,0.075,-0.090438272060664,0.211540248027214,-0.496713943757632,0.330345455158066,3
